block_index,mode,lam,winner_id,block_time_ticks,fork,n_competing,f_winner,f_reference,f_optimum_est,total_hash_attempts,total_aco_iterations,p0,label
4,pure_poao,0.0,26,2,True,16,4.782906335090596,4.74021965706223,4.74021965706223,0.0,40.00000000000001,0.0002,pure_poao
5,pure_poao,0.0,16,2,True,6,3.730269390542249,3.9654718740412296,3.9654718740412296,0.0,39.99999999999998,0.0002,pure_poao
6,pure_poao,0.0,14,2,True,7,3.5633512879882776,3.2412286547418963,3.2412286547418963,0.0,39.99999999999999,0.0002,pure_poao
7,pure_poao,0.0,27,2,True,8,4.184737717451558,4.056815732311939,4.056815732311939,0.0,39.99999999999999,0.0002,pure_poao
8,pure_poao,0.0,8,2,True,15,3.755649413831699,3.7424033459258084,3.7424033459258084,0.0,40.00000000000001,0.0002,pure_poao
9,pure_poao,0.0,8,2,True,12,4.394648735990679,4.335811642231434,4.335811642231434,0.0,39.99999999999999,5e-05,pure_poao
10,pure_poao,0.0,5,1,True,16,4.503234232332574,4.569256717610205,4.569256717610205,0.0,40.00000000000001,5e-05,pure_poao
11,pure_poao,0.0,22,2,True,12,3.61762194591498,3.6258424410051244,3.6258424410051244,0.0,39.999999999999986,5e-05,pure_poao
12,pure_poao,0.0,28,2,True,16,4.430972254139634,4.394564054730961,4.394564054730961,0.0,40.0,5e-05,pure_poao
13,pure_poao,0.0,7,2,True,4,3.693066481485705,3.4975390742645693,3.4975390742645693,0.0,39.999999999999986,5e-05,pure_poao
14,pure_poao,0.0,22,2,True,16,4.090735713718626,4.323544472586664,4.323544472586664,0.0,40.00000000000001,5e-05,pure_poao
15,pure_poao,0.0,12,2,True,6,3.5350059507063447,3.489229264739789,3.489229264739789,0.0,39.99999999999999,5e-05,pure_poao
16,pure_poao,0.0,28,2,True,10,3.6989384245638326,3.5361543498202455,3.5361543498202455,0.0,39.99999999999999,5e-05,pure_poao
17,pure_poao,0.0,14,2,True,16,3.4605528840112445,4.22202045206539,4.22202045206539,0.0,39.999999999999986,5e-05,pure_poao
18,pure_poao,0.0,27,2,True,15,4.681836209621331,4.724653889601676,4.724653889601676,0.0,39.99999999999999,5e-05,pure_poao
19,pure_poao,0.0,3,2,True,7,3.2411825783176123,3.2203616054990865,3.2203616054990865,0.0,39.999999999999986,1.25e-05,pure_poao
20,pure_poao,0.0,23,2,True,16,3.9386307287512956,4.3255580755185035,4.3255580755185035,0.0,39.99999999999999,1.25e-05,pure_poao
21,pure_poao,0.0,22,2,True,9,4.026845316243706,3.999777739112461,3.999777739112461,0.0,40.0,1.25e-05,pure_poao
22,pure_poao,0.0,25,2,True,16,3.726814793949335,4.184178743994918,4.184178743994918,0.0,39.999999999999986,1.25e-05,pure_poao
23,pure_poao,0.0,12,2,True,16,3.8829840607630817,3.7097820455718633,3.7097820455718633,0.0,39.99999999999998,1.25e-05,pure_poao
24,pure_poao,0.0,1,2,True,13,3.827393925602051,3.617401030910989,3.617401030910989,0.0,40.00000000000001,1.25e-05,pure_poao
25,pure_poao,0.0,7,1,True,7,3.1986137696331154,3.210707721857898,3.210707721857898,0.0,40.0,1.25e-05,pure_poao
26,pure_poao,0.0,27,2,True,16,3.289789591767775,3.5180783400745934,3.5180783400745934,0.0,39.999999999999986,1.25e-05,pure_poao
27,pure_poao,0.0,14,1,True,5,4.055922421305565,3.878347825541384,3.878347825541384,0.0,39.99999999999999,1.25e-05,pure_poao
28,pure_poao,0.0,14,1,True,14,3.222897960970484,3.2909932654564376,3.2909932654564376,0.0,39.999999999999986,1.25e-05,pure_poao
29,pure_poao,0.0,5,2,True,10,4.032881204487988,4.277145329555972,4.277145329555972,0.0,40.0,3.125e-06,pure_poao
30,pure_poao,0.0,10,2,True,16,5.070132391522201,4.961703342587963,4.961703342587963,0.0,39.99999999999998,3.125e-06,pure_poao
31,pure_poao,0.0,22,2,True,16,4.211171721357946,4.508958340947353,4.508958340947353,0.0,39.99999999999998,3.125e-06,pure_poao
32,pure_poao,0.0,5,1,True,11,3.5100436842066194,3.7207820506484577,3.7207820506484577,0.0,39.999999999999986,3.125e-06,pure_poao
33,pure_poao,0.0,8,2,True,15,4.314210317079906,4.30253990890253,4.30253990890253,0.0,39.999999999999986,3.125e-06,pure_poao
34,pure_poao,0.0,14,1,True,16,4.4335880250115505,4.8531231620625,4.8531231620625,0.0,40.0,3.125e-06,pure_poao
35,pure_poao,0.0,5,2,True,10,3.7214178699075062,3.7789308275938813,3.7789308275938813,0.0,39.999999999999986,3.125e-06,pure_poao
36,pure_poao,0.0,27,2,True,16,3.158414760412453,3.6393014227212372,3.6393014227212372,0.0,40.00000000000001,3.125e-06,pure_poao
37,pure_poao,0.0,5,1,True,16,3.9930965250630996,5.213966907248645,5.213966907248645,0.0,39.999999999999986,3.125e-06,pure_poao
38,pure_poao,0.0,25,2,True,16,4.183785498273024,4.622335225004634,4.622335225004634,0.0,39.999999999999986,3.125e-06,pure_poao
